Introducer,DeemedOn,IntroductionDate,LawNumber,ActNumber,DocumentUrl,LegislationNumber,Deemed,ShortTitle,LegislationStatus,Subcategory,CouncilPeriod,Id,CommitteeReferralComments,Category,Modified,CommitteeReferral
Chairman Mendelson,,2020-03-09,,,http://lims.dccouncil.us/Download/44431/PR23-0758-Introduction.pdf,PR23-0758,,Food Policy Council Dalila Boclin Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44431,,Resolution,2020-03-13,Committee on Transportation and the Environment
Chairman Mendelson,2020-06-24,2020-03-09,,,http://lims.dccouncil.us/Download/44432/PR23-0759-Introduction.pdf,PR23-0759,Disapproved,Commission on Human Rights Brian Griffey Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44432,,Resolution,2020-03-13,Committee on Government Operations
Chairman Mendelson,,2020-03-09,,,http://lims.dccouncil.us/Download/44433/PR23-0760-Introduction.pdf,PR23-0760,,District of Columbia Commemorative Works Committee Joe Coleman Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44433,,Resolution,2020-03-13,Committee of the Whole
Chairman Mendelson,2020-06-24,2020-03-09,,,http://lims.dccouncil.us/Download/44435/PR23-0762-Introduction.pdf,PR23-0762,Disapproved,Alcoholic Beverage Control Board James Short Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44435,,Resolution,2020-03-13,Committee on Business and Economic Development
Chairman Mendelson,2020-06-24,2020-03-09,,,http://lims.dccouncil.us/Download/44436/PR23-0763-Introduction.pdf,PR23-0763,Disapproved,Alcoholic Beverage Control Board Rema Wahabzadah Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44436,,Resolution,2020-03-13,Committee on Business and Economic Development
Chairman Mendelson,,2020-03-10,,,http://lims.dccouncil.us/Download/44438/B23-0709-Introduction.pdf,B23-0709,,Streetscape Business Development Relief Expansion Emergency Amendment Act of 2020,Under Council Review,Emergency Bill,23,44438,,Bill,2020-03-13,Retained by the Council
Chairman Mendelson,,2020-03-10,,,http://lims.dccouncil.us/Download/44437/PR23-0764-Introduction.pdf,PR23-0764,,Streetscape Business Development Relief Expansion Emergency Declaration Resolution of 2020,Under Council Review,Emergency Declaration Resolution,23,44437,,Resolution,2020-03-13,Retained by the Council
Chairman Mendelson,,2020-03-10,,,http://lims.dccouncil.us/Download/44439/B23-0710-Introduction.pdf,B23-0710,,Streetscape Business Development Relief Expansion Temporary Amendment Act of 2020,Under Council Review,Temporary Bill,23,44439,,Bill,2020-03-13,Retained by the Council
Chairman Mendelson,,2020-02-27,,,http://lims.dccouncil.us/Download/44253/B23-0673-Introduction.pdf,B23-0673,,Substantive Technical Emergency Amendment Act of 2020,Under Mayoral Review,Emergency Bill,23,44253,,Bill,2020-03-13,Retained by the Council
NONE,,2020-02-25,,,,HR23-0156,,"Performance Oversight Hearing: Commission on Aging, and Department of Aging and Community Living",Under Council Review,Oversight Hearing Record,23,44440,,Oversight Hearing Record,2020-03-13,Committee on Housing and Neighborhood Revitalization
NONE,,2020-02-25,,,,HR23-0155,,Performance Oversight Hearing: Age Friendly DC Task Force,Under Council Review,Oversight Hearing Record,23,44428,,Oversight Hearing Record,2020-03-13,Committee on Housing and Neighborhood Revitalization
NONE,,2020-02-25,,,,HR23-0154,,Performance Oversight Hearing: Real Property Tax Appeal Commission,Under Council Review,Oversight Hearing Record,23,44427,,Oversight Hearing Record,2020-03-13,Committee on Housing and Neighborhood Revitalization
Chairman Mendelson,2020-03-07,2020-02-25,,,http://lims.dccouncil.us/Download/44230/CA23-0441-Introduction.pdf,CA23-0441,Approved,"Proposed contract with Systems and Methods, Inc. ",Deemed Approved,Contract,23,44230,,Contract,2020-03-13,Retained by the Council
Chairman Mendelson,2020-03-06,2020-02-21,,,http://lims.dccouncil.us/Download/44227/CA23-0439-Introduction.pdf,CA23-0439,Approved,"Proposed contract with MCN Build, Inc. ",Deemed Approved,Contract,23,44227,,Contract,2020-03-13,Retained by the Council
Chairman Mendelson,2020-03-06,2020-02-21,,,http://lims.dccouncil.us/Download/44226/CA23-0438-Introduction.pdf,CA23-0438,Approved,"Proposed contract with Boys Town Washington DC, Inc. ",Deemed Approved,Contract,23,44226,,Contract,2020-03-13,Retained by the Council
Councilmember McDuffie,,2020-03-03,,A23-0246,http://lims.dccouncil.us/Download/44312/B23-0687-Introduction.pdf,B23-0687,,Deputy Mayor for Planning and Economic Development Limited Grant Making Authority for Check It Enterprises Emergency Amendment Act of 2020,Enacted,Emergency Bill,23,44312,,Bill,2020-03-12,Retained by the Council
Chairman Mendelson,,2020-02-28,,A23-0245,http://lims.dccouncil.us/Download/44298/B23-0681-Introduction.pdf,B23-0681,,Ghost Guns Prohibition Emergency Amendment Act of 2020,Enacted,Emergency Bill,23,44298,,Bill,2020-03-12,Retained by the Council
Councilmember McDuffie,,2020-03-02,,,http://lims.dccouncil.us/Download/44414/CER23-0276-Introduction.pdf,CER23-0276,,Paul Laurence Dunbar Lady Crimson Tide Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44414,,Resolution,2020-03-12,Retained by the Council
Councilmember Grosso,,2020-03-02,,,http://lims.dccouncil.us/Download/44408/CER23-0271-Introduction.pdf,CER23-0271,,"May Is? ""All about Trans"" Month Recognition Resolution of 2020",Under Council Review,Ceremonial Resolution,23,44408,,Resolution,2020-03-12,Retained by the Council
Councilmember Gray,,2020-03-02,,,http://lims.dccouncil.us/Download/44406/CER23-0270-Introduction.pdf,CER23-0270,,Clay Day 2019 Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44406,,Resolution,2020-03-12,Retained by the Council
Councilmember Nadeau,,2020-03-02,,,http://lims.dccouncil.us/Download/44405/CER23-0269-Introduction.pdf,CER23-0269,,Developmental Disabilities Awareness Month Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44405,,Resolution,2020-03-12,Retained by the Council
Councilmember Gray,,2020-02-28,,,http://lims.dccouncil.us/Download/44404/CER23-0268-Introduction.pdf,CER23-0268,,Florence Gray Patterson Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44404,,Resolution,2020-03-12,Retained by the Council
"Councilmembers R. White, Cheh, Silverman, Allen, Gray, McDuffie, Grosso, Nadeau, and Todd",,2020-02-28,,,http://lims.dccouncil.us/Download/44403/CER23-0267-Introduction.pdf,CER23-0267,,Natalie Ludaway Ceremonial Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44403,,Resolution,2020-03-12,Retained by the Council
Councilmember Gray,,2020-02-28,,,http://lims.dccouncil.us/Download/44402/CER23-0266-Introduction.pdf,CER23-0266,,Horace and Dickie's Seafood Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44402,,Resolution,2020-03-12,Retained by the Council
Councilmember T. White,,2020-02-26,,,http://lims.dccouncil.us/Download/44398/CER23-0263-Introduction.pdf,CER23-0263,,Reverend Joyce Scott Ceremonial Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44398,,Resolution,2020-03-12,Retained by the Council
Councilmember T. White,,2020-02-26,,,http://lims.dccouncil.us/Download/44397/CER23-0262-Introduction.pdf,CER23-0262,,"Reverend Anthony ""Tony"" Motley Ceremonial Resolution of 2020",Under Council Review,Ceremonial Resolution,23,44397,,Resolution,2020-03-12,Retained by the Council
Councilmember T. White,,2020-02-26,,,http://lims.dccouncil.us/Download/44394/CER23-0261-Introduction.pdf,CER23-0261,,"Sandra C. ""Sandy"" Allen Ceremonial Recognition Resolution of 2020",Under Council Review,Ceremonial Resolution,23,44394,,Resolution,2020-03-12,Retained by the Council
Councilmember Grosso,,2020-02-26,,,http://lims.dccouncil.us/Download/44393/CER23-0260-Introduction.pdf,CER23-0260,,Office of the Chief Financial Officer Responsible Investments Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44393,,Resolution,2020-03-12,Retained by the Council
Councilmember T. White,,2020-02-25,,,http://lims.dccouncil.us/Download/44391/CER23-0259-Introduction.pdf,CER23-0259,,"Mablean ""Mable"" Carter Ceremonial Recognition Resolution of 2020",Under Council Review,Ceremonial Resolution,23,44391,,Resolution,2020-03-12,Retained by the Council
Councilmember T. White,,2020-02-24,,,http://lims.dccouncil.us/Download/44389/CER23-0257-Introduction.pdf,CER23-0257,,Reverend Dr. Wanda Thompson Ceremonial Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44389,,Resolution,2020-03-12,Retained by the Council
Councilmember T. White,,2020-02-21,,,http://lims.dccouncil.us/Download/44388/CER23-0256-Introduction.pdf,CER23-0256,,Arrington L. Dixon Ceremonial Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44388,,Resolution,2020-03-12,Retained by the Council
Chairman Mendelson,,2020-02-27,,,http://lims.dccouncil.us/Download/44291/B23-0677-Introduction.pdf,B23-0677,,"Modification Nos. 5, 6, 7, 8, and 9 to Contract No. RM-17-HCA-SATSR-009-SII-BY4-CPS with Samaritan Inns, Inc. Approval and Payment Authorization Emergency Act of 2020",Under Council Review,Emergency Bill,23,44291,,Bill,2020-03-12,Retained by the Council
Councilmember Todd,,2020-02-26,,,http://lims.dccouncil.us/Download/44251/B23-0672-Introduction.pdf,B23-0672,,ROSA Loophole Elimination Temporary Amendment Act of 2020,Under Council Review,Temporary Bill,23,44251,,Bill,2020-03-12,Retained by the Council
Councilmember Todd,,2020-02-26,,,http://lims.dccouncil.us/Download/44250/B23-0671-Introduction.pdf,B23-0671,,ROSA Loophole Elimination Emergency Amendment Act of 2020,Under Council Review,Emergency Bill,23,44250,,Bill,2020-03-12,Retained by the Council
Chairman Mendelson,2020-03-26,2020-03-11,,,http://lims.dccouncil.us/Download/44420/REPROG23-0086-Introduction.pdf,REPROG23-0086,Approved,"Request to reprogram $733,000 from the Department of General Services (AM0) to the Wilson Building (ZZ0)",Under Council Review,Reprogramming,23,44420,,Reprogramming,2020-03-11,Retained by the Council
Chairman Mendelson,2020-03-26,2020-03-11,,,http://lims.dccouncil.us/Download/44421/REPROG23-0087-Introduction.pdf,REPROG23-0087,Approved,"Request to reprogram $9,510,000 in Capital Funds from Multiple Agencies to the Office of the Chief Technology Officer",Under Council Review,Reprogramming,23,44421,,Reprogramming,2020-03-11,Retained by the Council
Chairman Mendelson at the request of the Mayor,,2020-03-11,,,http://lims.dccouncil.us/Download/44422/RC23-0168-Introduction.pdf,RC23-0168,,Correspondence from the Mayor - Fiscal Year 2019 Solar for All Annual Report,Under Council Review,Other,23,44422,,Report,2020-03-11,
Chairman Mendelson,2020-03-21,2020-03-10,,,http://lims.dccouncil.us/Download/44419/CA23-0457-Introduction.pdf,CA23-0457,Approved,Proposed contract to exercise Option Year Three (3) with PSI Services LLC ,Deemed Approved,Contract,23,44419,,Contract,2020-03-11,Retained by the Council
Chairman Mendelson,2020-03-21,2020-03-10,,,http://lims.dccouncil.us/Download/44416/CA23-0456-Introduction.pdf,CA23-0456,Approved,"Proposed contract with MCN Build, Inc. ",Deemed Approved,Contract,23,44416,,Contract,2020-03-11,Retained by the Council
NONE,,2020-02-24,,,,HR23-0151,,"Performance Oversight Hearing: Destination DC, Office of the Deputy Mayor for Planning and Economic Development",Under Council Review,Oversight Hearing Record,23,44417,,Oversight Hearing Record,2020-03-11,Committee on Business and Economic Development
Chairman Mendelson,2020-03-20,2020-03-09,,,http://lims.dccouncil.us/Download/44392/CA23-0454-Introduction.pdf,CA23-0454,Approved,Proposed loan agreement between the Department of Housing and Community Development (DHCD) and Spring Flats Family LLC,Deemed Approved,Contract,23,44392,,Contract,2020-03-10,Retained by the Council
Chairman Mendelson,2020-03-20,2020-03-09,,,,CA23-0455,Approved,Proposed loan agreement between the Department of Housing and Community Development (DHCD) and Spring Flats Senior 4 LLC,Deemed Approved,Contract,23,44395,,Contract,2020-03-10,Retained by the Council
Chairman Mendelson at the request of the Mayor ,,2020-03-10,,,http://lims.dccouncil.us/Download/44415/RC23-0167-Introduction.pdf,RC23-0167,,Correspondence from the Mayor - The District's Workforce Innovation and Opportunity Act (WIOA) July 2020 – June 2024 Unified State Plan,Under Council Review,Other,23,44415,,Report,2020-03-10,
NONE,,2020-03-04,,,,HR23-0150,,"Performance Oversight Hearing: ""Office of Lottery and Gaming, Office of the Chief Financial Officer""",Under Council Review,Oversight Hearing Record,23,44413,,Oversight Hearing Record,2020-03-10,Committee on Business and Economic Development
Councilmember Cheh,,2020-03-02,,,http://lims.dccouncil.us/Download/44412/CER23-0275-Introduction.pdf,CER23-0275,,Maurice J. Queen Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44412,,Resolution,2020-03-10,Retained by the Council
Councilmember Todd,,2020-03-02,,,http://lims.dccouncil.us/Download/44411/CER23-0274-Introduction.pdf,CER23-0274,,International Social Emotional Learning Day Ceremonial Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44411,,Resolution,2020-03-10,Retained by the Council
Councilmember Todd,,2020-03-02,,,http://lims.dccouncil.us/Download/44410/CER23-0273-Introduction.pdf,CER23-0273,,"Judge Wendell P. Gardner, Jr. Retirement Ceremonial Recognition Resolution of 2020",Under Council Review,Ceremonial Resolution,23,44410,,Resolution,2020-03-10,Retained by the Council
Councilmember Todd,,2020-03-02,,,http://lims.dccouncil.us/Download/44409/CER23-0272-Introduction.pdf,CER23-0272,,District of Columbia Emancipation Day Establishment 15th Anniversary Ceremonial Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44409,,Resolution,2020-03-10,Retained by the Council
Councilmember Todd,,2020-02-28,,,http://lims.dccouncil.us/Download/44401/CER23-0265-Introduction.pdf,CER23-0265,,Samuel Edward McCoy 85th Birthday Ceremonial Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44401,,Resolution,2020-03-10,Retained by the Council
Councilmember Todd,,2020-02-28,,,http://lims.dccouncil.us/Download/44400/CER23-0264-Introduction.pdf,CER23-0264,,Dr. Barbara S. Harvey 85th Birthday Ceremonial Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44400,,Resolution,2020-03-10,Retained by the Council
Councilmember Todd,,2020-02-25,,,http://lims.dccouncil.us/Download/44390/CER23-0258-Introduction.pdf,CER23-0258,,Theodore Roosevelt Rough Riders Congratulatory Ceremonial Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44390,,Resolution,2020-03-10,Retained by the Council
Councilmember T. White,,2020-02-21,,,http://lims.dccouncil.us/Download/44387/CER23-0255-Introduction.pdf,CER23-0255,,Bishop Glen A. Staples Ceremonial Recognition Resolution of 2020,Under Council Review,Ceremonial Resolution,23,44387,,Resolution,2020-03-10,Retained by the Council
NONE,,2020-03-03,,,http://lims.dccouncil.us/Download/44376/AG23-0025-Agenda.pdf,AG23-0025,,TWENTY-FIFTH LEGISLATIVE MEETING,Under Council Review,Agenda,23,44376,,Agenda,2020-03-10,
Chairman Mendelson,,2020-03-02,,,http://lims.dccouncil.us/Download/44354/B23-0703-Introduction.pdf,B23-0703,,"Contract No. DCAM-19-CS-RFQ-0001A and Modification No. 01 with DC General Construction, Inc. Approval and Payment Authorization Emergency Act of 2020",Under Council Review,Emergency Bill,23,44354,,Bill,2020-03-10,Retained by the Council
Chairman Mendelson,,2020-03-03,,,http://lims.dccouncil.us/Download/44355/PR23-0751-Introduction.pdf,PR23-0751,,"Contract No. DCAM-19-CS-RFQ-0001U and Modification No. 1 with RBK Construction, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2020",Under Council Review,Emergency Declaration Resolution,23,44355,,Resolution,2020-03-10,Retained by the Council
Chairman Mendelson,,2020-03-03,,,http://lims.dccouncil.us/Download/44356/B23-0704-Introduction.pdf,B23-0704,,"Contract No. DCAM-19-CS-RFQ-0001U and Modification No. 1 with RBK Construction, Inc. Approval and Payment Authorization Emergency Act of 2020",Under Council Review,Emergency Bill,23,44356,,Bill,2020-03-10,Retained by the Council
Chairman Mendelson,,2020-03-02,,,http://lims.dccouncil.us/Download/44353/PR23-0750-Introduction.pdf,PR23-0750,,"Contract No. DCAM-19-CS-RFQ-0001A and Modification No. 01 with DC General Construction, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2020",Under Council Review,Emergency Declaration Resolution,23,44353,,Resolution,2020-03-10,Retained by the Council
Chairman Mendelson,,2020-03-04,,,http://lims.dccouncil.us/Download/44358/PR23-0753-Introduction.pdf,PR23-0753,,"Contract No. DCAM-19-CS-RFQ-0001I and Modification No. 01 with Citadel Firm, LLC Approval and Payment Authorization Emergency Declaration Resolution of 2020",Under Council Review,Emergency Declaration Resolution,23,44358,,Resolution,2020-03-10,Retained by the Council
Chairman Mendelson,,2020-03-04,,,http://lims.dccouncil.us/Download/44359/B23-0705-Introduction.pdf,B23-0705,,"Contract No. DCAM-19-CS-RFQ-0001I and Modification No. 01 with Citadel Firm, LLC Approval and Payment Authorization Emergency Act of 2020",Under Council Review,Emergency Bill,23,44359,,Bill,2020-03-10,Retained by the Council
Chairman Mendelson,2020-06-11,2020-02-26,,,http://lims.dccouncil.us/Download/44287/PR23-0739-Introduction.pdf,PR23-0739,Approved,Commission on Re-Entry and Returning Citizen Affairs Clarence Johnson Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44287,,Resolution,2020-03-10,Committee on Facilities and Procurement
Chairman Mendelson,2020-06-11,2020-02-26,,,http://lims.dccouncil.us/Download/44286/PR23-0738-Introduction.pdf,PR23-0738,Approved,Commission on Re-Entry and Returning Citizen Affairs Corwin Knight Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44286,,Resolution,2020-03-10,Committee on Facilities and Procurement
Chairman Mendelson,2020-06-11,2020-02-26,,,http://lims.dccouncil.us/Download/44285/PR23-0737-Introduction.pdf,PR23-0737,Approved,Commission on Re-Entry and Returning Citizen Affairs Taurus Phillips Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44285,,Resolution,2020-03-10,Committee on Facilities and Procurement
Chairman Mendelson,2020-06-11,2020-02-26,,,,PR23-0736,Approved,Commission on Re-Entry and Returning Citizen Affairs Dominic Henry Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44284,,Resolution,2020-03-10,Committee on Facilities and Procurement
Chairman Mendelson,2020-06-11,2020-02-26,,,http://lims.dccouncil.us/Download/44283/PR23-0735-Introduction.pdf,PR23-0735,Approved,Commission on Re-Entry and Returning Citizen Affairs Olivia Elder Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44283,,Resolution,2020-03-10,Committee on Facilities and Procurement
Chairman Mendelson,2020-06-11,2020-02-26,,,http://lims.dccouncil.us/Download/44281/PR23-0734-Introduction.pdf,PR23-0734,Approved,Commission on Re-Entry and Returning Citizen Affairs Paula Thompson Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44281,,Resolution,2020-03-10,Committee on Facilities and Procurement
Chairman Mendelson,,2020-02-26,,,http://lims.dccouncil.us/Download/44279/PR23-0733-Introduction.pdf,PR23-0733,,Chief Tenant Advocate of the Office of the Tenant Advocate Johanna Shreve Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44279,,Resolution,2020-03-10,Committee on Housing and Neighborhood Revitalization
Chairman Mendelson,2020-04-27,2020-02-26,,,http://lims.dccouncil.us/Download/44278/PR23-0732-Introduction.pdf,PR23-0732,Approved,District of Columbia State Athletics Commission Michael Hunter Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44278,,Resolution,2020-03-10,Committee on Education
Chairman Mendelson,2020-04-27,2020-02-26,,,http://lims.dccouncil.us/Download/44277/PR23-0731-Introduction.pdf,PR23-0731,Approved,District of Columbia State Athletics Commission Larry Carroll Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44277,,Resolution,2020-03-10,Committee on Education
Chairman Mendelson,2020-04-27,2020-02-26,,,http://lims.dccouncil.us/Download/44275/PR23-0730-Introduction.pdf,PR23-0730,Approved,District of Columbia State Athletics Commission Terrance Lynch Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44275,,Resolution,2020-03-10,Committee on Education
Chairman Mendelson,2020-04-27,2020-02-26,,,http://lims.dccouncil.us/Download/44274/PR23-0729-Introduction.pdf,PR23-0729,Approved,Board of Dietetics and Nutrition India James Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44274,,Resolution,2020-03-10,Committee on Health
Chairman Mendelson,2020-04-27,2020-02-25,,,http://lims.dccouncil.us/Download/44272/PR23-0728-Introduction.pdf,PR23-0728,Approved,Commission on African-American Affairs Lauren Vaughan Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44272,,Resolution,2020-03-10,Committee on Government Operations
Chairman Mendelson,2020-04-27,2020-02-25,,,http://lims.dccouncil.us/Download/44271/PR23-0727-Introduction.pdf,PR23-0727,Approved,Commission on African-American Affairs Prentice Parrish Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44271,,Resolution,2020-03-10,Committee on Government Operations
Chairman Mendelson,2020-04-27,2020-02-25,,,http://lims.dccouncil.us/Download/44270/PR23-0726-Introduction.pdf,PR23-0726,Approved,Commission on African-American Affairs Kristin Shymoniak Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44270,,Resolution,2020-03-10,Committee on Government Operations
Chairman Mendelson,2020-04-27,2020-02-25,,,http://lims.dccouncil.us/Download/44269/PR23-0725-Introduction.pdf,PR23-0725,Approved,Commission on African-American Affairs Melanee Woodard Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44269,,Resolution,2020-03-10,Committee on Government Operations
Chairman Mendelson,,2020-02-25,,,http://lims.dccouncil.us/Download/44268/PR23-0724-Introduction.pdf,PR23-0724,,Board of Directors of the Tobacco Settlement Financing Corporation Angela D. Joyner Appointment Resolution of 2020,Under Council Review,Proposed Resolution,23,44268,,Resolution,2020-03-10,Committee of the Whole
Chairman Mendelson,,2020-02-25,,,http://lims.dccouncil.us/Download/44267/PR23-0723-Introduction.pdf,PR23-0723,,Not-For-Profit Hospital Corporation Board of Directors Millicent Gorham Reappointment Resolution of 2020,Under Council Review,Proposed Resolution,23,44267,,Resolution,2020-03-10,Committee of the Whole
Chairman Mendelson,2020-04-27,2020-02-24,,,,PR23-0719,Approved,Violence Fatality Review Committee Erin Hall Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44248,,Resolution,2020-03-10,Committee on Judiciary and Public Safety
Chairman Mendelson,2020-04-27,2020-02-24,,,http://lims.dccouncil.us/Download/44247/PR23-0718-Introduction.pdf,PR23-0718,Approved,Violence Fatality Review Committee Deborah Evans- Bailey Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44247,,Resolution,2020-03-10,Committee on Judiciary and Public Safety
Chairman Mendelson,2020-04-27,2020-02-24,,,http://lims.dccouncil.us/Download/44245/PR23-0717-Introduction.pdf,PR23-0717,Approved,Commission on African Affairs Salimata Sangare Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44245,,Resolution,2020-03-10,Committee on Government Operations
Chairman Mendelson,2020-04-27,2020-02-24,,,http://lims.dccouncil.us/Download/44244/PR23-0716-Introduction.pdf,PR23-0716,Approved,Commission on African Affairs Reynolds Saka Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44244,,Resolution,2020-03-10,Committee on Government Operations
Chairman Mendelson,2020-04-27,2020-02-24,,,http://lims.dccouncil.us/Download/44243/PR23-0715-Introduction.pdf,PR23-0715,Approved,Commission on African Affairs Kate Okoye Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44243,,Resolution,2020-03-10,Committee on Government Operations
Chairman Mendelson,2020-04-27,2020-02-24,,,http://lims.dccouncil.us/Download/44242/PR23-0714-Introduction.pdf,PR23-0714,Approved,Commission on African Affairs Josiane Ndoyombaye Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44242,,Resolution,2020-03-10,Committee on Government Operations
Chairman Mendelson,2020-04-27,2020-02-24,,,,PR23-0713,Approved,Commission on African Affairs Carmen Eliam Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44241,,Resolution,2020-03-10,Committee on Government Operations
Chairman Mendelson,2020-04-27,2020-02-24,,,http://lims.dccouncil.us/Download/44240/PR23-0712-Introduction.pdf,PR23-0712,Approved,Commission on African Affairs Sannido De Poukn Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44240,,Resolution,2020-03-10,Committee on Government Operations
Chairman Mendelson,2020-04-27,2020-02-24,,,http://lims.dccouncil.us/Download/44239/PR23-0711-Introduction.pdf,PR23-0711,Approved,Commission on African Affairs Ify Bozimo Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44239,,Resolution,2020-03-10,Committee on Government Operations
Chairman Mendelson,2020-04-27,2020-02-24,,,http://lims.dccouncil.us/Download/44238/PR23-0710-Introduction.pdf,PR23-0710,Approved,Commission on African Affairs Etayenesh Asfaw Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44238,,Resolution,2020-03-10,Committee on Government Operations
Chairman Mendelson,2020-04-27,2020-02-24,,,http://lims.dccouncil.us/Download/44237/PR23-0709-Introduction.pdf,PR23-0709,Approved,Commission on Out of School Time Grants and Youth Outcomes Heather Peeler Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44237,,Resolution,2020-03-10,Committee on Education
Chairman Mendelson,2020-04-27,2020-02-24,,,http://lims.dccouncil.us/Download/44236/PR23-0708-Introduction.pdf,PR23-0708,Approved,Commission on Out of School Time Grants and Youth Outcomes Burnell Holland Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44236,,Resolution,2020-03-10,Committee on Education
Chairman Mendelson,2020-04-27,2020-02-24,,,http://lims.dccouncil.us/Download/44235/PR23-0707-Introduction.pdf,PR23-0707,Approved,Commission on Out of School Time Grants and Youth Outcomes Jason Spector Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44235,,Resolution,2020-03-10,Committee on Education
Chairman Mendelson,2020-04-27,2020-02-24,,,,PR23-0706,Approved,Commission on Out of School Time Grants and Youth Outcomes Dr. Kenneth Taylor Confirmation Resolution of 2020,Under Council Review,Proposed Resolution,23,44234,,Resolution,2020-03-10,Committee on Education
Chairman Mendelson,,2020-02-24,,,http://lims.dccouncil.us/Download/44246/B23-0670-Introduction.pdf,B23-0670,,Bloomingdale Historic District Targeted Historic Preservation Assistance Amendment Act of 2020,Under Council Review,Permanent Bill,23,44246,,Bill,2020-03-10,Committee of the Whole
Chairman Mendelson,2020-03-20,2020-03-05,,,http://lims.dccouncil.us/Download/44348/REPROG23-0084-Introduction.pdf,REPROG23-0084,Approved,"Request to reprogram $1,318,825 in Special Purpose Revenue Funds budget authority within the District of Columbia Public Schools ",Deemed Approved,Reprogramming,23,44348,,Reprogramming,2020-03-06,Retained by the Council
Chairman Mendelson,2020-03-20,2020-03-05,,,http://lims.dccouncil.us/Download/44349/REPROG23-0085-Introduction.pdf,REPROG23-0085,Approved,"Request to reprogram $310,000 in Special Purpose Revenue Funds budget authority within the District of Columbia Public Schools ",Deemed Approved,Reprogramming,23,44349,,Reprogramming,2020-03-06,Retained by the Council
Chairman Mendelson,2020-03-16,2020-03-05,,,,CA23-0451,Approved,"Proposed contract to exercise option year three (3) with Umbrella Therapeutic Services, Inc.",Deemed Approved,Contract,23,44350,,Contract,2020-03-06,Retained by the Council
Chairman Mendelson,2020-03-16,2020-03-05,,,,CA23-0452,Approved,"Proposed contract to exercise option year three (3) with American Traffic Solutions, Inc. ",Deemed Approved,Contract,23,44351,,Contract,2020-03-06,Retained by the Council
Chairman Mendelson,2020-03-16,2020-03-05,,,http://lims.dccouncil.us/Download/44352/CA23-0453-Introduction.pdf,CA23-0453,Approved,"Proposed contract with McConnell & Jones, LLP",Deemed Approved,Contract,23,44352,,Contract,2020-03-06,Retained by the Council
