WithdrawnBy,VendorName,PlaceOfIntroduction,MemoLink,DateRead,AdditionalInformation,RereferralCommitteeComments,ReIntroducer,LawNumber,IntroductionDate,Subcategory,Modified,RequestOf,CommitteeReferralComments,LegislationNumber,LegislationStatus,DocumentUrl,ActNumber,Deemed,CouncilPeriod,Category,WithDrawnDate,CommitteeReferral,ReReferralDate,ReReferralPublishedDate,Introducer,ShortTitle,PlaceRead,IsRereferred,AgendaDate,Id,RereferralCommittee,PublicationDate,ReCoSponsor,DeemedOn
,,Legislative Meeting,http://lims.dccouncil.us/Download/42010/B23-0181_Memorandum.pdf,2019-03-05,"BILL SUMMARY - As introduced it establishes when a petitioner including an intimate partner, family member, household member, victim of sexual abuse, a minor or a minor's parent, guardian or custodian, may file a petition for civil protection in the Domestic Violence Unit. It creates anti-stalking orders. Among other things, it allows the court to extend temporary protection orders incrementally and establishes a dedicated unit in the MPD to serve process in civil protection order cases.",,,,2019-03-05,Permanent Bill,2019-03-19,,,B23-0181,Under Council Review,http://lims.dccouncil.us/Download/42010/B23-0181-Introduction.pdf,,,23.0,Bill,,Committee on Judiciary and Public Safety,,,"Councilmembers Allen, Cheh, Grosso, Todd, Bonds, Evans, Nadeau, and Chairman Mendelson",Intrafamily Offenses and Anti-Stalking Orders Amendment Act of 2019,Legislative Meeting,False,,42010.0,,2019-03-15,,
,,Legislative Meeting,http://lims.dccouncil.us/Download/42009/B23-0180_Memorandum.pdf,2019-03-05,"BILL SUMMARY - As introduced it establishes an On-Site Services Program to provide funding to qualifying housing providers. The on-site services include mental health services, food and nutrition services, childcare services and after-school programs among other things.",,,,2019-03-05,Permanent Bill,2019-03-19,,,B23-0180,Under Council Review,http://lims.dccouncil.us/Download/42009/B23-0180-Introduction.pdf,,,23.0,Bill,,Committee on Human Services and Committee on Housing and Neighborhood Revitalization,,,"Councilmembers Nadeau, McDuffie, R. White, Cheh, T. White, Silverman, Grosso, and Bonds",On-Site Services Act of 2019,Legislative Meeting,False,,42009.0,,2019-03-15,,
,,Legislative Meeting,http://lims.dccouncil.us/Download/42008/B23-0179_Memorandum.pdf,2019-03-05,BILL SUMMARY - As introduced it authorizes the Office of Human Rights to impose civil financial penalties on property owners who advertise their intent to discriminate against rental applicants using housing vouchers. ,,,,2019-03-05,Permanent Bill,2019-03-19,,Committee on Housing and Neighborhood Revitalization,B23-0179,Under Council Review,http://lims.dccouncil.us/Download/42008/B23-0179-Introduction.pdf,,,23.0,Bill,,Committee on Government Operations,,,"Councilmembers Silverman, Nadeau, Allen, Grosso, Evans, and Bonds",Housing Voucher Discrimination Penalty Amendment Act of 2019,Legislative Meeting,False,,42008.0,,2019-03-15,,
,,Legislative Meeting,http://lims.dccouncil.us/Download/42007/B23-0178_Memorandum.pdf,2019-03-05,"BILL SUMMARY - As introduced it creates an Interagency Council on Behavioral Health and describes its members, powers, and duties. ",,,,2019-03-05,Permanent Bill,2019-03-19,,,B23-0178,Under Council Review,http://lims.dccouncil.us/Download/42007/B23-0178-Introduction.pdf,,,23.0,Bill,,Committee on Health,,,"Councilmembers Grosso, Silverman, Nadeau, McDuffie, and Todd",Interagency Council on Behavioral Health Establishment Amendment Act of 2019,Legislative Meeting,False,,42007.0,,2019-03-15,,
,,Legislative Meeting,http://lims.dccouncil.us/Download/42006/B23-0177_Memorandum.pdf,2019-03-05,"BILL SUMMARY - As introduced it requires that every residential unit in a new residential building be individually metered for each electric, natural gas, and water utility service received by the unit. ",,,,2019-03-05,Permanent Bill,2019-03-19,,Committee on Housing and Neighborhood Revitalization,B23-0177,Under Council Review,http://lims.dccouncil.us/Download/42006/B23-0177-Introduction.pdf,,,23.0,Bill,,Committee on Business and Economic Development,,,"Councilmembers Bonds, Grosso, Allen, and Todd",Green Building Residential Metering Amendment Act of 2019,Legislative Meeting,False,,42006.0,,2019-03-15,,
,,Legislative Meeting,http://lims.dccouncil.us/Download/42005/B23-0176_Memorandum.pdf,2019-03-05,"BILL SUMMARY - As introduced it requires children less than 5 years of age in the care of a child development facility to wear a United States Coast Guard-approved personal flotation device when within 50 feet of an unsecured water facility, at least one or more feet in depth.  A violation will result in up to $750 in fines or a suspended license. ",,,,2019-03-05,Permanent Bill,2019-03-19,,,B23-0176,Under Council Review,http://lims.dccouncil.us/Download/42005/B23-0176-Introduction.pdf,,,23.0,Bill,,Committee on Education and Committee of the Whole,,,Councilmembers Bonds and R. White,Child Water Safety Amendment Act of 2019,Legislative Meeting,False,,42005.0,,2019-03-15,,
,,Legislative Meeting,http://lims.dccouncil.us/Download/42004/B23-0175_Memorandum.pdf,2019-03-05,"BILL SUMMARY - As introduced it establishes the Elder Abuse Response Team (""EART"") as a commission of the Office of the Attorney General. Members include representatives from the Office on Aging, the Department of Insurance, Securities, and Banking, the offices of the DC and US Attorney General, MPD and the District Office for Victim Services and Justice Grants or their designee. ",,,,2019-03-05,Permanent Bill,2019-03-19,,Committee on Human Services and Committee on Housing and Neighborhood Revitalization,B23-0175,Under Council Review,http://lims.dccouncil.us/Download/42004/B23-0175-Introduction.pdf,,,23.0,Bill,,Committee on Judiciary and Public Safety,,,"Councilmembers Bonds, Todd, Gray, Grosso, and R. White",Elder Abuse Response Team Act of 2019,Legislative Meeting,False,,42004.0,,2019-03-15,,
,,Legislative Meeting,http://lims.dccouncil.us/Download/42003/B23-0174_Memorandum.pdf,2019-03-05,"BILL SUMMARY - As introduced it establishes the Small Business Bonding Program to provide training, financial, and technical assistance to eligible participants.  It also requires annual reporting that evaluates the program's performance. ",,,,2019-03-05,Permanent Bill,2019-03-19,,,B23-0174,Under Council Review,http://lims.dccouncil.us/Download/42003/B23-0174-Introduction.pdf,,,23.0,Bill,,Committee on Business and Economic Development,,,"Councilmembers McDuffie, Allen, T. White, R. White, Cheh, Todd, Grosso, Evans, Bonds, Nadeau, Gray, and Chairman Mendelson",Small Business Bonding Program Establishment Amendment Act of 2019,Legislative Meeting,False,,42003.0,,2019-03-15,,
,,Legislative Meeting,http://lims.dccouncil.us/Download/42002/B23-0173_Memorandum.pdf,2019-03-05,BILL SUMMARY - As introduced it allows payment of a real estate commission to be made to a business entity. ,,,,2019-03-05,Permanent Bill,2019-03-19,,,B23-0173,Under Council Review,http://lims.dccouncil.us/Download/42002/B23-0173-Introduction.pdf,,,23.0,Bill,,Committee on Housing and Neighborhood Revitalization,,,"Councilmembers McDuffie, Bonds, Evans, Grosso, and Todd",Accounting Clarification for Real Estate Professionals Amendment Act of 2019,Legislative Meeting,False,,42002.0,,2019-03-15,,
,,Legislative Meeting,http://lims.dccouncil.us/Download/42001/B23-0172_Memorandum.pdf,2019-03-05,"BILL SUMMARY - As introduced it designates the park located at 227 Harry Thomas Way, N.E., in Ward 5, as Alethia Tanner Park. ",,,,2019-03-05,Permanent Bill,2019-03-19,,,B23-0172,Under Council Review,http://lims.dccouncil.us/Download/42001/B23-0172-Introduction.pdf,,,23.0,Bill,,Committee of the Whole,,,"Councilmembers McDuffie, Grosso, Bonds, Cheh, Evans, Nadeau, Allen, R. White, and Gray",Alethia Tanner Park Designation Act of 2019,Legislative Meeting,False,,42001.0,,2019-03-15,,
,,Legislative Meeting,http://lims.dccouncil.us/Download/42000/B23-0171_Memorandum.pdf,2019-03-05,"BILL SUMMARY - As introduced, this bill permits a minor of any age to consent to receive a vaccine where the vaccination is recommended by the United States Advisory Committee on Immunization Practices. It also establishes that if a minor is able to comprehend the need for, the nature of, and any significant risks inherent in the medical care then informed consent is established. ",,,,2019-03-05,Permanent Bill,2019-03-19,,,B23-0171,Under Council Review,http://lims.dccouncil.us/Download/42000/B23-0171-Introduction.pdf,,,23.0,Bill,,Committee on Health,,,Councilmember Cheh,Minor Consent for Vaccinations Amendment Act of 2019,Legislative Meeting,False,,42000.0,,2019-03-15,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41746/PR23-0085_Memorandum.pdf,2019-02-05,,,,,2019-01-31,Emergency Declaration Resolution,2019-03-19,,,PR23-0085,Approved,http://lims.dccouncil.us/Download/41746/PR23-0085-Introduction.pdf,R23-0048,,23.0,Resolution,,Retained by the Council,,,Councilmember McDuffie,Small and Certified Business Enterprise Development and Assistance Emergency Declaration Resolution of 2019,Legislative Meeting,False,,41746.0,,,,
,,Committee of the Whole,http://lims.dccouncil.us/Download/41722/PR23-0081_Memorandum.pdf,2019-01-22,,,,,2019-01-22,Proposed Resolution,2019-03-19,,,PR23-0081,Approved,http://lims.dccouncil.us/Download/41722/PR23-0081-Introduction.pdf,R23-0047,,23.0,Resolution,,Retained by the Council,,,"Councilmembers Grosso, Bonds, Allen, R. White, and Chairman Mendelson",Sense of the Council Urging the Federal Government to Prevent Nuclear War Resolution of 2019,Committee of the Whole,False,,41722.0,,2019-01-25,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41936/PR23-0134_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Declaration Resolution,2019-03-19,the Mayor,Committee on Facilities and Procurement and Committee on Education,PR23-0134,Approved,http://lims.dccouncil.us/Download/41936/PR23-0134-Introduction.pdf,R23-0046,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,"Change Order Nos. 11 and 12 to Contract No. DCAM-17-CS-0074 with MCN Build, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2019",Legislative Meeting,False,,41936.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41944/PR23-0138_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Declaration Resolution,2019-03-19,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",PR23-0138,Approved,http://lims.dccouncil.us/Download/41944/PR23-0138-Introduction.pdf,R23-0045,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 4 and 5 to Contract No. DCAM-17-CS-0025E with WKM Solutions, LLC Approval and Payment Authorization Emergency Declaration Resolution of 2019",Legislative Meeting,False,,41944.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41946/PR23-0139_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Declaration Resolution,2019-03-19,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",PR23-0139,Approved,http://lims.dccouncil.us/Download/41946/PR23-0139-Introduction.pdf,R23-0044,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 3 and 4 to Contract No. DCAM-17-CS-0025C with Paige Industrial Services, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2019",Legislative Meeting,False,,41946.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41942/PR23-0137_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Declaration Resolution,2019-03-19,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",PR23-0137,Approved,http://lims.dccouncil.us/Download/41942/PR23-0137-Introduction.pdf,R23-0043,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 3 and 4 to Contract No. DCAM-17-CS-0025B with Micon Construction, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2019",Legislative Meeting,False,,41942.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41950/PR23-0141_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Declaration Resolution,2019-03-19,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",PR23-0141,Approved,http://lims.dccouncil.us/Download/41950/PR23-0141-Introduction.pdf,R23-0042,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,Modification Nos. 4 and 5 to Contract No. DCAM-17-CS-0025D with Keystone Plus Construction Corporation Approval and Payment Authorization Emergency Declaration Resolution of 2019,Legislative Meeting,False,,41950.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41952/PR23-0142_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Declaration Resolution,2019-03-19,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",PR23-0142,Approved,http://lims.dccouncil.us/Download/41952/PR23-0142-Introduction.pdf,R23-0041,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,Modification Nos. 5 and 6 to Contract No. DCAM-17-CS-0025I with HRGM Corporation Approval and Payment Authorization Emergency Declaration Resolution of 2019,Legislative Meeting,False,,41952.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41928/PR23-0130_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Declaration Resolution,2019-03-19,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",PR23-0130,Approved,http://lims.dccouncil.us/Download/41928/PR23-0130-Introduction.pdf,R23-0040,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,Modification Nos. 3 and 4 to Contract No. DCAM-17-CS-0025A with Hard Light Consulting Group Approval and Payment Authorization Emergency Declaration Resolution of 2019,Legislative Meeting,False,,41928.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41948/PR23-0140_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Declaration Resolution,2019-03-19,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",PR23-0140,Approved,http://lims.dccouncil.us/Download/41948/PR23-0140-Introduction.pdf,R23-0039,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 3 and 4 to Contract No. DCAM-17-CS-0025H with General Services, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2019",Legislative Meeting,False,,41948.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41930/PR23-0131_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Declaration Resolution,2019-03-19,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",PR23-0131,Approved,http://lims.dccouncil.us/Download/41930/PR23-0131-Introduction.pdf,R23-0038,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 3 and 4 to Contract No. DCAM-17-CS-0025K with DC General Construction, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2019",,False,,41930.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41940/PR23-0136_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Declaration Resolution,2019-03-19,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",PR23-0136,Approved,http://lims.dccouncil.us/Download/41940/PR23-0136-Introduction.pdf,R23-0037,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 3 and 4 to Contract No. DCAM-17-CS-0025L with Corenic Construction Group, LLC Approval and Payment Authorization Emergency Declaration Resolution of 2019",Legislative Meeting,False,,41940.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41883/PR23-0121_Memorandum.pdf,2019-02-19,,,,,2019-02-13,Emergency Declaration Resolution,2019-03-19,the Mayor,Committee on Facilities and Procurement,PR23-0121,Approved,http://lims.dccouncil.us/Download/41883/PR23-0121-Introduction.pdf,R23-0036,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,"Modifications Nos. 3 and 4 to Contract No. DCAM-17-CS-0025M with Columbia  Enterprises, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2019",Committee of the Whole,False,,41883.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41934/PR23-0133_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Declaration Resolution,2019-03-19,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",PR23-0133,Approved,http://lims.dccouncil.us/Download/41934/PR23-0133-Introduction.pdf,R23-0035,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,Modification Nos. 6 and 7 to Contract No. DCAM-17-CS-0025G with Chiaramonte Construction Company Approval and Payment Authorization Emergency Declaration Resolution of 2019,Legislative Meeting,False,,41934.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41932/PR23-0132_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Declaration Resolution,2019-03-19,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",PR23-0132,Approved,http://lims.dccouncil.us/Download/41932/PR23-0132-Introduction.pdf,R23-0034,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 4 and 5 to Contract No. DCAM-17-CS-0025F with Broughton Construction Company, LLC Approval and Payment Authorization Emergency Declaration Resolution of 2019",Legislative Meeting,False,,41932.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41938/PR23-0135_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Declaration Resolution,2019-03-19,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",PR23-0135,Approved,http://lims.dccouncil.us/Download/41938/PR23-0135-Introduction.pdf,R23-0033,,23.0,Resolution,,Retained by the Council,,,Chairman Mendelson,"Modification Nos. 5 and 6 to Contract No. DCAM-17-CS-0025J with Blue Skye Construction, LLC Approval and Payment Authorization Emergency Declaration Resolution of 2019",Legislative Meeting,False,,41938.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41582/PR23-0060_Memorandum.pdf,2019-01-08,"Deemed approved 3/29/2019

PREVIOUSLY
PR 22-1161",,,,2019-01-02,Proposed Resolution,2019-03-19,the Mayor,,PR23-0060,Approved,http://lims.dccouncil.us/Download/41582/PR23-0060-Introduction.pdf,R23-0032,Approved,23.0,Resolution,,Committee on Transportation and the Environment,,,Chairman Mendelson,Food Policy Director Ona Balkus Confirmation Resolution of 2018,Legislative Meeting,False,,41582.0,,2019-01-11,,2019-03-29
,,Office of the Secretary,http://lims.dccouncil.us/Download/41609/PR23-0071_Memorandum.pdf,2019-01-22,,,,,2019-01-07,Proposed Resolution,2019-03-19,the Mayor,,PR23-0071,Approved,http://lims.dccouncil.us/Download/41609/PR23-0071-Introduction.pdf,R23-0030,Approved,23.0,Resolution,,Committee on Government Operations,,,Chairman Mendelson,Chief Technology Officer Lindsey Parker Confirmation Resolution of 2019,Committee of the Whole,False,,41609.0,,2019-01-11,,2019-05-01
,,Office of the Secretary,http://lims.dccouncil.us/Download/42087/PR23-0193_Memorandum.pdf,2019-03-19,,,,,2019-03-15,Proposed Resolution,2019-03-19,the Mayor,Committee on Facilities and Procurement,PR23-0193,New,http://lims.dccouncil.us/Download/42087/PR23-0193-Introduction.pdf,,,23.0,Resolution,,Committee on Education and Committee of the Whole,,,Chairman Mendelson,Master Facilities Plan Approval Resolution of 2019,Committee of the Whole,False,,42087.0,,,,
,Zurich American Insurance Company ,Office of the Secretary,http://lims.dccouncil.us/Download/42088/CA23-0044_Memorandum.pdf,,"The attached proposed all-risk property insurance binder for the issuance of a policy of insurance covering all District real property assets with Zurich American Insurance Company in the amount of $1,480,444.00 was filed in the Office of the Secretary on March 18, 2019.  

The Council's ten day review begins Tuesday, March 19, 2019, including Saturdays, Sundays, Council recess and legal holidays. The proposed contract will be deemed approved on Friday, March 29, 2019, unless a resolution of approval or disapproval is introduced within the ten day review period, extending the review to 45 days. ",,,,2019-03-18,Contract,2019-03-19,the Mayor,Committee on Government Operations,CA23-0044,New,http://lims.dccouncil.us/Download/42088/CA23-0044-Introduction.pdf,,Approved,23.0,Contract,,Retained by the Council,,,Chairman Mendelson,Proposed contract with Zurich American Insurance Company ,,False,,42088.0,,,,2019-03-29
,,Office of the Secretary,http://lims.dccouncil.us/Download/41602/PR23-0067_Memorandum.pdf,2019-01-08,,,,,2019-01-07,Proposed Resolution,2019-03-19,the Mayor,,PR23-0067,Approved,http://lims.dccouncil.us/Download/41602/PR23-0067-Introduction.pdf,R23-0031,Approved,23.0,Resolution,,Committee on Education and Committee of the Whole,,,Chairman Mendelson,Chancellor of the District of Columbia Public Schools Dr. Lewis D. Ferebee Confirmation Resolution of 2019,Legislative Meeting,False,,41602.0,,2019-01-11,,2019-04-09
,,Office of the Secretary,http://lims.dccouncil.us/Download/41747/B23-0099_Memorandum.pdf,2019-02-05,,,,,2019-01-31,Emergency Bill,2019-03-19,,,B23-0099,Under Mayoral Review,http://lims.dccouncil.us/Download/41747/B23-0099-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Councilmember McDuffie,Small and Certified Business Enterprise Development and Assistance Emergency Amendment Act of 2019,Legislative Meeting,False,,41747.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/42086/PR23-0192_Memorandum.pdf,2019-03-19,,,,,2019-03-15,Proposed Resolution,2019-03-19,the Mayor,,PR23-0192,New,http://lims.dccouncil.us/Download/42086/PR23-0192-Introduction.pdf,,,23.0,Resolution,,Committee on Finance and Revenue,,,Chairman Mendelson,"Friendship Public Charter School, Inc. Revenue Bonds Project Approval Resolution of 2019",Committee of the Whole,False,,42086.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/42085/B23-0191_Memorandum.pdf,2019-03-19,,,,,2019-03-14,Permanent Bill,2019-03-19,the Mayor,,B23-0191,New,http://lims.dccouncil.us/Download/42085/B23-0191-Introduction.pdf,,,23.0,Bill,,Committee on Transportation and the Environment,,,Chairman Mendelson,Polystyrene Food Service and Loose Fill Packaging Prohibition Amendment Act of 2019,Committee of the Whole,False,,42085.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41917/GBM23-0015_Memorandum.pdf,,"Pursuant to Section 808(a) of the District of Columbia Appropriations Act, 2013, the attached ""FY 2019 Grant Budget Modifications of December 5, 2018"", GBM 23-15 was filed on February 28, 2019 in the Office of the Secretary. The Council's 14 calendar day review period begins Friday, March 1, 2019 and ends Thursday, March 14, 2019.  The modification will be deemed approved on Friday, March 15, 2019, unless a notice of disapproval is filed within the 14 days.  If a notice of disapproval is filed prior to that date, the Council's review period will be extended to 30 calendar days.",,,,2019-02-28,Grant Budget Modification,2019-03-19,the Mayor,Committee of the Whole,GBM23-0015,Deemed Approved,http://lims.dccouncil.us/Download/41917/GBM23-0015-Introduction.pdf,,Approved,23.0,Grant Budget Modification,,Retained by the Council,,,Chairman Mendelson,"FY 2019 Grant Budget Modifications of December 5, 2018",,False,,41917.0,,,,2019-03-15
,,Office of the Secretary,http://lims.dccouncil.us/Download/41913/GBM23-0014_Memorandum.pdf,,"Pursuant to Section 808(a) of the District of Columbia Appropriations Act, 2013, the attached ""FY 2019 Grant Budget Modifications of January 28, 2019"", GBM 23-14 was filed on February 26, 2019 in the Office of the Secretary. The Council's 14 calendar day review period begins Wednesday, February 27, 2019 and ends Tuesday, March 12, 2019.  The modification will be deemed approved on Wednesday, March 13, 2019, unless a notice of disapproval is filed within the 14 days.  If a notice of disapproval is filed prior to that date, the Council's review period will be extended to 30 calendar days.",,,,2019-02-26,Grant Budget Modification,2019-03-19,the Mayor,Committee of the Whole,GBM23-0014,Deemed Approved,http://lims.dccouncil.us/Download/41913/GBM23-0014-Introduction.pdf,,Approved,23.0,Grant Budget Modification,,Retained by the Council,,,Chairman Mendelson,"FY 2019 Grant Budget Modifications of January 28, 2019",,False,,41913.0,,,,2019-03-13
,,Office of the Secretary,http://lims.dccouncil.us/Download/41912/GBM23-0013_Memorandum.pdf,,"Pursuant to Section 808(a) of the District of Columbia Appropriations Act, 2013, the attached ""FY 2019 Grant Budget Modifications of January 16, 2019"", GBM 23-13 was filed on February 26, 2019 in the Office of the Secretary. The Council's 14 calendar day review period begins Wednesday, February 27, 2019 and ends Tuesday, March 12, 2019.  The modification will be deemed approved on Wednesday, March 13, 2019, unless a notice of disapproval is filed within the 14 days.  If a notice of disapproval is filed prior to that date, the Council's review period will be extended to 30 calendar days.",,,,2019-02-26,Grant Budget Modification,2019-03-19,the Mayor,Committee of the Whole,GBM23-0013,Deemed Approved,http://lims.dccouncil.us/Download/41912/GBM23-0013-Introduction.pdf,,Approved,23.0,Grant Budget Modification,,Retained by the Council,,,Chairman Mendelson,"FY 2019 Grant Budget Modifications of January 16, 2019",,False,,41912.0,,,,2019-03-13
,,Office of the Secretary,http://lims.dccouncil.us/Download/42083/RC23-0049_Memorandum.pdf,,"The Mayor submits the report entitled ""District of Columbia Residential Recycling Program: 2017-2018 Benchmarking, Trends, and Goals"" in the Office of the Secretary on March 18, 2019 for your review. Copies are available in the Legislative Services Division in Room 10.",,,,2019-03-18,Other,2019-03-18,,,RC23-0049,New,http://lims.dccouncil.us/Download/42083/RC23-0049-Introduction.pdf,,,23.0,Report,,,,,Chairman Phil Mendelson,"Correspondence from the Mayor - District of Columbia residential Recycling Program: 2017-2018 Benchmarking, Trends, and Goals",,False,,42083.0,,,,
,DMV IT Consulting Professional Corporation ,Office of the Secretary,http://lims.dccouncil.us/Download/42081/CA23-0043_Memorandum.pdf,,"The attached proposed contract to exercise Option Year One (1) with DMV IT Consulting Professional Corporation in the not-to-exceed amount of $10,000,000.00 will enable the District to have the flexibility to issues multiple orders for Mission Oriented Business Integrated Services in a relatively short period of time was filed in the Office of the Secretary on March 15, 2019.    

The Council's ten day review begins Monday, March 18, 2019, including Saturdays, Sundays, Council recess and legal holidays. The proposed contract will be deemed approved on Thursday, March 28, 2019, unless a resolution of approval or disapproval is introduced within the ten day review period, extending the review to 45 days.",,,,2019-03-15,Contract,2019-03-18,the Mayor,Committee on Facilities and Procurement,CA23-0043,New,http://lims.dccouncil.us/Download/42081/CA23-0043-Introduction.pdf,,Approved,23.0,Contract,,Retained by the Council,,,Chairman Mendelson,Proposed contract to exercise Option Year One (1) with DMV IT Consulting Professional Corporation ,,False,,42081.0,,,,2019-03-28
,,Office of the Secretary,http://lims.dccouncil.us/Download/42080/B23-0190_Memorandum.pdf,2019-03-19,,,,,2019-03-13,Permanent Bill,2019-03-18,,,B23-0190,Under Council Review,http://lims.dccouncil.us/Download/42080/B23-0190-Introduction.pdf,,,23.0,Bill,,Committee on Business and Economic Development and Committee on Health,,,Councilmembers Nadeau and Grosso,Healthy Beverages for Kids Meals Act of 2019,Committee of the Whole,False,,42080.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/42082/RC23-0048_Memorandum.pdf,,"The Mayor submits the Alcoholic Beverage Regulation Administration's (ABRA) report entitled ""ABRA The Effectiveness of Single-Serve Moratoriums in the District"" in the Office of the Secretaryon march 18, 2019 for your review. Copies are available in the Legislative Services Division in Room 10.",,,,2019-03-18,Other,2019-03-18,,,RC23-0048,New,http://lims.dccouncil.us/Download/42082/RC23-0048-Introduction.pdf,,,23.0,Report,,,,,Chairman Phil Mendelson,Correspondence from the Mayor - ABRA The Effectiveness of Single-Serve Moratoriums in the District,,False,,42082.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41878/B23-0138_Memorandum.pdf,2019-02-19,,,,,2019-02-11,Emergency Bill,2019-03-18,the Mayor,,B23-0138,Enacted,http://lims.dccouncil.us/Download/41878/B23-0138-Introduction.pdf,A23-0021,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,"Modifications to Contract No. CW50466 with KPMG, LLP Approval and Payment Authorization Emergency Act of 2019",Committee of the Whole,False,,41878.0,,,,
,,Office of the Secretary,http://lims.dccouncil.us/Download/41953/B23-0164_Memorandum.pdf,2019-03-05,,,,,2019-02-26,Emergency Bill,2019-03-18,the Mayor,"Committee on Facilities and Procurement, Committee on Education, and Committee on Recreation and Youth Affairs",B23-0164,Under Mayoral Review,http://lims.dccouncil.us/Download/41953/B23-0164-Introduction.pdf,,,23.0,Bill,,Retained by the Council,,,Chairman Mendelson,Modification Nos. 5 and 6 to Contract No. DCAM-17-CS-0025I with HRGM Corporation Approval and Payment Authorization Emergency Act of 2019,Legislative Meeting,False,,41953.0,,,,
